"","id","title","geography","geography_iso","document_types","sectors","events","documents","description"
"1",4982,"Law on Disaster Response, Management, and Preparedness","Afghanistan","AFG","Law","LULUCF;Water","25/12/2012|Law passed||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4e27f8fbe94a3cff706ea55e80d68f0beb270161/f|en;Dari version (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60aeeb8a653d951c1ad086e9ed8e0533daf24154/%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C%20%D9%85%D8%A8%D8%A7%D8%B1%D8%B2%D9%87%20%D8%A8%D8%A7%20%D8%AD%D9%88%D8%A7%D8%AF%D8%AB_Law%20on%20Disaster%20Response%20Management%20and%20Preparedness_Dari%20Version.pd.pdf|","This law was enacted to oversee the management, prevention and mitigation of causes of all sorts of disasters, as well as post disaster management in the country. The natural disasters in scope include droughts, landslide, forest fires ""and others"". The National Disaster Management Commision is charged by art. 6 to do the management of all disaster related affairs."
"2",9636,"The Law On Regulating Forest Affairs 2011","Afghanistan","AFG","Law;Act","LULUCF","23/11/2011|Passed||","Full text (WORD)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--062de537cedc767a8343681117ccd31c4046a337/2011%20Forest%20Law_23.09.2011_V.0.1.SE.doc|en","The Law on Regulating Forest Affairs aims to ensure a sustainable management and regulation of forest resources.&nbsp;<br><br>The law objectives are the following; 1) sustaining and promoting to the maximum the production level from the forests and keeping a balance between the growth and exploitation; 2) bringing appropriate changes to the climate and beautification of the surroundings; 3) preventing the pollution of the environment, 4) restraining the velocity of winds and thus preventing their undesired impacts; 5) protecting the lakes, reservoirs and dams from being inundated with sand and soil, 6) preventing the wind and water erosion of the soil, etc."
"3",9637,"Legislative Decree on the Endorsement of the Power Services Regulation Act","Afghanistan","AFG","Decree Law","Energy","01/01/2015|Approved||","Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdU1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--80f5d44dff08ae5398d725ae74c2902d3397bcbb/2015%20Electricity%20Law.pdf|en","The objectives of the legislative decree are : 1) to supply electrical energy from natural resources of the country and imported energy; 2) to improve the quantity and quality of energy services; 3) economic growth and development as well as public welfare; 4) public access to the electricity energy services in exchange fo a fair price; 5) non-discriminatory access of the electricity energy service providers to the market; 6) regulation of electricity related affairs throughout the country.&nbsp;<br><br>In the context of theLaw, the Energy Services Regulation Authority is referred to the 'Authority' and the law sets its responsibilities.&nbsp;"
"6",1014,"Law 99-09 relative to the Management of Energy","Algeria","DZA","Decree Law","Buildings;Energy;Industry;Transport","28/07/1999|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8f2d8a74a035c2459107a5ad08cf6816ca16b402/c|;Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbXNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c62f90e227182fe85bab83757279c57ae9d8acc/f|","Establishes the framework and conditions for the National Programme for the Management of Energy, outlining parameters for: efficient consumption, energy conservation/energy efficiency, the reduction of GHG emissions and general air pollution, the education of both government agencies and the populace regarding energy efficiency, and the development of renewable energy technologies and sources inclusive of solar, geothermal, hydropower, and biomass.<br>&nbsp;<br>&nbsp;Authorises the use of financial incentives for projects and investments in energy efficiency and renewable energy, in addition to establishing the parameters for: (i) energy efficient building standards, (ii) a mandatory energy auditing system for industry, transport, and service sectors, and (iii) sanctions for non-compliance.<br>&nbsp;<br>&nbsp;Establishes a National Fund for Energy Management, supported by taxes on domestic energy consumption, state subsidies, and fines for non-compliance pursuant to this law."
"7",10336,"Constitution of the People's Democratic Republic of Algeria","Algeria","DZA","Constitution","Economy-wide","01/11/2020|Constitution Adopted||","Full text constitution|https://www.constituteproject.org/constitution/Algeria_2020.pdf?lang=en|en","The Constitution of the People’s Democratic Republic of Algeria was adopted on 2020. It was passed because of civil unrest and a consequential referendum held on 1 November 2020. The referendum text was passed with 66.8% of votes cast from a 23.8% turnout of eligible voters. The&nbsp; Constitution of the People’s Democratic Republic of Algeria is hierarchically above all other laws of the country, safeguarding the individual and collective rights and freedoms. It intends to ensure “the separation and balance of powers, the independence of the judiciary, legal protections, oversight of the work of public authorities, and legal security”.&nbsp;<br><br>Within the preamble, a climate provision recognizes a concern of the effects of climate change, and a subsequent eagerness to take action. It reads as follows: “The people remain concerned with environmental degradation and the negative effects of climate change, and they are eager to ensure protection of the natural environment and the rational use of natural resources in order to preserve them for future generations.”"
"9",8896,"Law No. 27/15 amending Law No. 14-A/96 on the Basic Law on Electricity","Angola","AGO","Law","Buildings;Energy;Transport","14/12/2015|Law passed","full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzhGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e7b388fc153e329582fd2db3e7d033e2d0abb33/f|","This Law amends Law No. 14-A/96 of May 31 establishing the Basic Law on Electricity. Amended articles to re-organize the general principles of the Law exercising on the production activities, transport, distribution and commercialization of electrical energy with the fundamental objectives of national economic development and the welfare of citizens. It promotes the use of renewable energy."
"10",8479,"Environmental Protection and Management Act 10/2019","Antigua and Barbuda","ATG","Law","Environment;Transport","24/09/2015|Law passed||;06/06/2019|Approved||","Full text of 2015 repealed version|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--72a9d7d5f232992f9d91c449c268244352fcbb22/f|en;Link to full text (PDF)|http://laws.gov.ag/wp-content/uploads/2019/08/No.-10-of-2019-Environmental-Protection-and-Management-Bill-2019.pdf|en","The Environmental Protection and Management Act of 2019 repeals the 2015 version.<br><br>The Environmental Protection and Management Act of 2015 set up an institutional and administrative framework that codifies all decisions related to the national environment. It detailed the rights and duties of institutions responsible for dealing with offenses, protected areas, control and mitigation of pollution. It seeked to associate different kinds of non-governmental entities to its preventive and remedial decisions, and awareness-raising measures. The Act formulated a legal right for access to information related to the local environment in its various forms. The document charged the government to develop a National Environmental Policy Framework to implement specific objectives within the scope of the Act, and notably the reduction of greenhouse gases emissions. It further allowed the government to declare an area protected if the function of carbon sink is identified following the UNFCCC principles, and to monitor the given area."
"11",8480,"Renewable Energy Act","Antigua and Barbuda","ATG","Law","Energy","23/04/2015|Law passed","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUVHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--fe33fe1ae8c7c0e45844a43b70d5d2648ee10436/f|","The Renewable Energy Act of 2015 establishes legal, economic and institutional basis to promote the installation and use of renewable energy and corresponding electricity grid. Renewable sources considered are wind, solar, hydropower, biomass, geothermal and tidal. The Act plans that the Government will regularly set out middle and long-term renewable energy targets. The appropriate minister will work in accordance with public utilities and the responsible network utility to establish regulations promoting renewable energy and define eligibility for a Feed In Tariff scheme.<br />
<br />
The Act also establishes a Renewable Energy Fund to enable its objectives, and finance it via the National Development Fund. Projects that will receive subsidies will have to be approved by the Cabinet, and include research and development programmes. General incentives are further set out to decrease the installation and operative costs."
"16",2007,"Law 26.190 Regime for the National Promotion for the Production and Use of Renewable Sources of Electric Energy","Argentina","ARG","Law","Energy","02/01/2007|Law passed||;15/10/2015|Amended by law 27191||;03/08/2021|Amended by resolution 742/2021||","Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaUFJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--54965c8a86b93863b75bd0c9dafd230d26974a5d/f|es;Full text - official document|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGNLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--34d2e8e4f4d64d5a415ef712cad18ab7e79a0665/2007%20(2).pdf|es;Link to resolution 531/2016|https://www.argentina.gob.ar/normativa/nacional/decreto-531-2016-259883|es","The Law, as updated in October 2015, builds on the concept of production of electricity from renewable energy sources as a matter of national interest. It requires that by 31 December 2017, 8% of all electricity consumed nationally must be generated from renewable energy sources. The law directs the executive power to co-ordinate a Federal Programme for the Development of Renewable Energy and creates a fund to finance renewable energy projects, including through feed-in tariff. Private firms who are recognised as beneficiaries of the Programme and/or the Fund will enjoy a series of tax benefits, expanded in 2015 (decrease of VAT through exemption on import duties, accelerated amortization of Income Tax, fiscal certificates, etc.). The 2015 update also enlarges the list of 'renewable sources' to include wave energy, ocean currents energy and biofuels, and it expands the support of the Programme and Fund to hydropower plants with capacity up to 50 MW (up from original 30 MW).<br><br>This law was amended several times, notably by law 27191 and by a number of resolutions including <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-285-2018-311549/actualizacion"">resolution 285/2018</a> and <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-742-2021-352574"">resolution 742/2021</a>.<br><br>The market regime for the production of renewable energy is regulated by <a href=""https://www.argentina.gob.ar/normativa/nacional/resolución-281-2017-278429"">resolution 281/2017 </a>and amending <a href=""https://www.boletinoficial.gob.ar/detalleAviso/primera/245706/20210616"">resolution 551/2021</a>.&nbsp;"
"17",2008,"Law 27191 on Renewable Energy","Argentina","ARG","Law","Energy","15/10/2015|Law passed","Full text |https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhJIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60f7eef4bcbe53d7ecb81be2309e2adf5c01e2f3/f|es;Full text - original version|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdGdLIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0714e2aae7f870680c357364a997ba54a63b5ef7/2008%20(2).pdf|es","The Law builds on and updates the Regimen for the National Promotion for the Production and Use of Renewable Sources of Electric Energy established by the <a href=""http://www.lse.ac.uk/GranthamInstitute/law/law-26-190-regimen-for-the-national-promotion-for-the-production-and-use-of-renewable-sources-of-electric-energy-2/"">Law 26.190</a>, and extends the regimen for the period 2018-2025. It sets national renewable energy targets, establishes a fund for financing renewable energy projects, and defines minimum renewable requirements for large consumers.<br> The law sets the following national targets for renewable energy:<br>&nbsp;<br><br></div><div><br><br></div><ol><li>By 31 December 2017, minimum of 8% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2019, minimum of 12% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2021, minimum of 16% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2023, minimum of 18% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><ol><li>By 31 December 2025, minimum of 20% of total electricity consumed comes from renewable sources.</li></ol><div><br><br></div><div><br>&nbsp;The law creates a new Fund for the Development of Renewable Energies (FODER), which is to be funded, among others, through the National Treasury with minimum 50% of the savings from shifting from fossil fuels to renewables, estimated at about US$41 billion by 2025.<br>&nbsp;The law also establishes special obligation for large energy users (power demand exceeds 300 kW) to achieve the above-mentioned targets individually, under a threat of penalty. Their renewable energy might be produced on site or purchased through contracts, whose price is capped by the Law at maximum US$113/MWh or its equivalent in the national currency. This price can be modified for new contracts after two years from the entry into force of the law takes effect if required by market conditions."
