Id,Title,Type,Geography,Geography ISO,Frameworks,Responses,Instruments,Document Types,Natural Hazards,Keywords,Sectors,Events,Documents,Parent Legislation,Description
4982,"Law on Disaster Response, Management, and Preparedness",legislative,Afghanistan,AFG,"",Adaptation;Disaster Risk Management,Capacity building|Governance;Institutional mandates|Governance,Law,"",Adaptation,LULUCF;Water,25/12/2012|Law passed||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBczhHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--4e27f8fbe94a3cff706ea55e80d68f0beb270161/f|en;Dari version (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--60aeeb8a653d951c1ad086e9ed8e0533daf24154/%D9%82%D8%A7%D9%86%D9%88%D9%86%20%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C%20%D9%85%D8%A8%D8%A7%D8%B1%D8%B2%D9%87%20%D8%A8%D8%A7%20%D8%AD%D9%88%D8%A7%D8%AF%D8%AB_Law%20on%20Disaster%20Response%20Management%20and%20Preparedness_Dari%20Version.pd.pdf|,,"This law was enacted to oversee the management, prevention and mitigation of causes of all sorts of disasters, as well as post disaster management in the country. The natural disasters in scope include droughts, landslide, forest fires ""and others"". The National Disaster Management Commision is charged by art. 6 to do the management of all disaster related affairs."
9636,The Law On Regulating Forest Affairs 2011,legislative,Afghanistan,AFG,"",Adaptation;Mitigation,"Capacity building|Governance;Processes, plans and strategies|Governance",Law;Act,Erosion;Floods;Changes in surface water;Biodiversity loss;Desertification,Forest,LULUCF,23/11/2011|Passed||,Full text (WORD)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdUlNIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--062de537cedc767a8343681117ccd31c4046a337/2011%20Forest%20Law_23.09.2011_V.0.1.SE.doc|en,,"The Law on Regulating Forest Affairs aims to ensure a sustainable management and regulation of forest resources.&nbsp;<br><br>The law objectives are the following; 1) sustaining and promoting to the maximum the production level from the forests and keeping a balance between the growth and exploitation; 2) bringing appropriate changes to the climate and beautification of the surroundings; 3) preventing the pollution of the environment, 4) restraining the velocity of winds and thus preventing their undesired impacts; 5) protecting the lakes, reservoirs and dams from being inundated with sand and soil, 6) preventing the wind and water erosion of the soil, etc."
9637,Legislative Decree on the Endorsement of the Power Services Regulation Act,legislative,Afghanistan,AFG,"",Mitigation,"Capacity building|Governance;Processes, plans and strategies|Governance",Decree Law,"",Renewables;Electricity;Energy,Energy,01/01/2015|Approved||,Full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdU1NIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--80f5d44dff08ae5398d725ae74c2902d3397bcbb/2015%20Electricity%20Law.pdf|en,,"The objectives of the legislative decree are : 1) to supply electrical energy from natural resources of the country and imported energy; 2) to improve the quantity and quality of energy services; 3) economic growth and development as well as public welfare; 4) public access to the electricity energy services in exchange fo a fair price; 5) non-discriminatory access of the electricity energy service providers to the market; 6) regulation of electricity related affairs throughout the country.&nbsp;<br><br>In the context of theLaw, the Energy Services Regulation Authority is referred to the 'Authority' and the law sets its responsibilities.&nbsp;"
1010,Law No. 04-20 relative to the Prevention of Major Risks and the Management of Catastrophes in the Framework of Sustainable Development,legislative,Algeria,DZA,"",Adaptation;Disaster Risk Management,"Processes, plans and strategies|Governance",Law,"",Adaptation,LULUCF;Water,29/12/2004|Law passed||,,,"The Law establishes the legal framework for disaster prevention and disaster risk management in Algeria. This Law is not limited to climate change-related risks, but explicitly includes climatic risks, and climate related areas (notably flooding and forest fires), in addition to other non-climate related disasters."
1011,Law No. 04-09 relative to Renewable Energy Promotion in the Framework of Sustainable Development,legislative,Algeria,DZA,"",Mitigation,Institutional mandates|Governance,Law,"",Research And Development;Energy Supply,Energy,14/08/2004|Law passed,,,"Builds on the general commitments outlined in Law No. 99-09 relative to the Management of Energy, laying the foundations for a requisite 'national programme to support renewable energy within the context of sustainable development.'<br />
<br />
Codifies Algeria's environmental mission to: promote the domestic development of renewable energy sources, to curb climate change by limiting GHG emissions, and to encourage sustainable development via the conservation and preservation of fossil fuel resources. Consistent with this mission, this law establishes a National Observatory/Centre for the Promotion of Renewable Energy.<br />
<br />
Serves as the framework for the Ministry of Energy and Mines detailed Renewable Energy and Energy Efficiency Programme (2011-2030), released in March 2011, which establishes specific quantitative targets for renewables."
1014,Law 99-09 relative to the Management of Energy,legislative,Algeria,DZA,"",Mitigation,"Standards, obligations and norms|Regulation;Capacity building|Governance;Education, training and knowledge dissemination|Information",Decree Law,"",Research And Development;Energy Supply;Energy Demand,Buildings;Energy;Industry;Transport,28/07/1999|Law passed,Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbW9IIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8f2d8a74a035c2459107a5ad08cf6816ca16b402/c|;Full text|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbXNIIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8c62f90e227182fe85bab83757279c57ae9d8acc/f|,,"Establishes the framework and conditions for the National Programme for the Management of Energy, outlining parameters for: efficient consumption, energy conservation/energy efficiency, the reduction of GHG emissions and general air pollution, the education of both government agencies and the populace regarding energy efficiency, and the development of renewable energy technologies and sources inclusive of solar, geothermal, hydropower, and biomass.<br>&nbsp;<br>&nbsp;Authorises the use of financial incentives for projects and investments in energy efficiency and renewable energy, in addition to establishing the parameters for: (i) energy efficient building standards, (ii) a mandatory energy auditing system for industry, transport, and service sectors, and (iii) sanctions for non-compliance.<br>&nbsp;<br>&nbsp;Establishes a National Fund for Energy Management, supported by taxes on domestic energy consumption, state subsidies, and fines for non-compliance pursuant to this law."
10336,Constitution of the People's Democratic Republic of Algeria,legislative,Algeria,DZA,"",Mitigation,"",Constitution,"",natural resources;environmental degradation,Economy-wide,01/11/2020|Constitution Adopted||,Full text constitution|https://www.constituteproject.org/constitution/Algeria_2020.pdf?lang=en|en,,"The Constitution of the People’s Democratic Republic of Algeria was adopted on 2020. It was passed because of civil unrest and a consequential referendum held on 1 November 2020. The referendum text was passed with 66.8% of votes cast from a 23.8% turnout of eligible voters. The&nbsp; Constitution of the People’s Democratic Republic of Algeria is hierarchically above all other laws of the country, safeguarding the individual and collective rights and freedoms. It intends to ensure “the separation and balance of powers, the independence of the judiciary, legal protections, oversight of the work of public authorities, and legal security”.&nbsp;<br><br>Within the preamble, a climate provision recognizes a concern of the effects of climate change, and a subsequent eagerness to take action. It reads as follows: “The people remain concerned with environmental degradation and the negative effects of climate change, and they are eager to ensure protection of the natural environment and the rational use of natural resources in order to preserve them for future generations.”"
1021,Law 06/10 on sugar cane production for biofuel,legislative,Angola,AGO,"",Mitigation,"Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements;Research And Development;Energy Supply;Redd+ And Lulucf,Industry;Water,23/04/2010|Law passed,,,"This Law regulates sugar cane production for biofuel purposes. It establishes the general basis for promoting the sugar cane cultivation and other plants in order to exploit their products, in particular with the purpose of biofuel production. Under this law, foreign companies which invest in biofuels must sell to state-owned oil firm Sonangol part of their biofuels production to satisfy Angola's internal consumption needs. It also states that foreign companies must provide local people with medical assistance and access to water and other basic resources in the land they are using to produce biofuels.

The <a href=""http://www.lse.ac.uk/GranthamInstitute/wp-content/uploads/2019/08/Biofuels_res.pdf"">Ministerial Decision No. 117/10</a> creates the Technical Group for the implementation of the Strategy for the Development of Biofuels, provided for in Law on Biofuels No. 6/10 of 23 April of 2010. The Technical Group is composed by members of the Ministry of Energy and Water, Ministry of Justice, Ministry of Agriculture, Ministry of Environment, and a representative of geology, mines and industry. It must provide support to the Biofuels Commission in the framework of the Biofuels Law."
8896,Law No. 27/15 amending Law No. 14-A/96 on the Basic Law on Electricity,legislative,Angola,AGO,"",Mitigation,Capacity building|Governance,Law,"",Institutions / Administrative Arrangements;Energy Supply,Buildings;Energy;Transport,14/12/2015|Law passed,full text (PDF)|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzhGIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e7b388fc153e329582fd2db3e7d033e2d0abb33/f|,,"This Law amends Law No. 14-A/96 of May 31 establishing the Basic Law on Electricity. Amended articles to re-organize the general principles of the Law exercising on the production activities, transport, distribution and commercialization of electrical energy with the fundamental objectives of national economic development and the welfare of citizens. It promotes the use of renewable energy."
8479,Environmental Protection and Management Act 10/2019,legislative,Antigua and Barbuda,ATG,"",Adaptation;Mitigation,"Nature based solutions and ecosystem restoration|Direct Investment;Capacity building|Governance;Processes, plans and strategies|Governance",Law,"",Institutions / Administrative Arrangements,Environment;Transport,24/09/2015|Law passed||;06/06/2019|Approved||,Full text of 2015 repealed version|https://climate-laws.org/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbUlHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--72a9d7d5f232992f9d91c449c268244352fcbb22/f|en;Link to full text (PDF)|http://laws.gov.ag/wp-content/uploads/2019/08/No.-10-of-2019-Environmental-Protection-and-Management-Bill-2019.pdf|en,,"The Environmental Protection and Management Act of 2019 repeals the 2015 version.<br><br>The Environmental Protection and Management Act of 2015 set up an institutional and administrative framework that codifies all decisions related to the national environment. It detailed the rights and duties of institutions responsible for dealing with offenses, protected areas, control and mitigation of pollution. It seeked to associate different kinds of non-governmental entities to its preventive and remedial decisions, and awareness-raising measures. The Act formulated a legal right for access to information related to the local environment in its various forms. The document charged the government to develop a National Environmental Policy Framework to implement specific objectives within the scope of the Act, and notably the reduction of greenhouse gases emissions. It further allowed the government to declare an area protected if the function of carbon sink is identified following the UNFCCC principles, and to monitor the given area."
